Function,Limit,Time
Functional,2,0.005040538657485352
Comprehension,2,0.0031970649688287155
Iterable,2,0.004965536515976837
Functional,3,0.005719110664080804
Comprehension,3,0.0041989356801371835
Iterable,3,0.0054905515065364376
Functional,4,0.007198231844251345
Comprehension,4,0.004841980356544387
Iterable,4,0.005603449466912415
Functional,5,0.007664824114056945
Comprehension,5,0.005624371116912157
Iterable,5,0.006691375266899072
Functional,6,0.011021367320619549
Comprehension,6,0.00842471423197215
Iterable,6,0.009403294804601656
Functional,7,0.009162498455548007
Comprehension,7,0.0076344285093403325
Iterable,7,0.008528138237631253
Functional,8,0.011215188644202082
Comprehension,8,0.008663142092346587
Iterable,8,0.006341628438601449
Functional,9,0.010775439246094254
Comprehension,9,0.008805646161212766
Iterable,9,0.007810486167828756
Functional,10,0.014021058232846911
Comprehension,10,0.012762206499843498
Iterable,10,0.010886758214017411
Functional,11,0.01196126257815519
Comprehension,11,0.01001949660931109
Iterable,11,0.010770702268735832
Functional,12,0.015315042547925373
Comprehension,12,0.014680682330008632
Iterable,12,0.00979883241403079
Functional,13,0.01356551891021096
Comprehension,13,0.010609250290435912
Iterable,13,0.01268009889229732
Functional,14,0.016968642394131483
Comprehension,14,0.016020062678105407
Iterable,14,0.014115008283789199
Functional,15,0.01730062555733497
Comprehension,15,0.016125065676217354
Iterable,15,0.010480562405531857
Functional,16,0.017117462432808983
Comprehension,16,0.015807688193202385
Iterable,16,0.0072783657112314715
Functional,17,0.016272306722441954
Comprehension,17,0.01350512244889096
Iterable,17,0.015354912107358898
Functional,18,0.02010373190918735
Comprehension,18,0.021508640444075855
Iterable,18,0.011431510610237172
Functional,19,0.022437877502554993
Comprehension,19,0.018304075261096342
Iterable,19,0.02120073691577773
Functional,20,0.026662866558163634
Comprehension,20,0.024687941747810416
Iterable,20,0.011387298821558423
Functional,21,0.020640984091256254
Comprehension,21,0.020895596624271984
Iterable,21,0.013763682463038718
Functional,22,0.02098559919408227
Comprehension,22,0.02284367856292746
Iterable,22,0.015250303857360148
Functional,23,0.01999557092616988
Comprehension,23,0.017376417195069993
Iterable,23,0.01921910138750016
Functional,24,0.024053976278006872
Comprehension,24,0.027719212509093927
Iterable,24,0.010454114281947313
Functional,25,0.02162745962614987
Comprehension,25,0.02024307799314795
Iterable,25,0.009557246568750677
Functional,26,0.02452254228837847
Comprehension,26,0.026423649201562704
Iterable,26,0.02199181213463608
Functional,27,0.02434608988177689
Comprehension,27,0.024145952588382924
Iterable,27,0.008025229141410906
Functional,28,0.02553822918364901
Comprehension,28,0.029162016862849693
Iterable,28,0.014238959191334777
Functional,29,0.02328461220537492
Comprehension,29,0.020304658698807376
Iterable,29,0.021908125534636946
Functional,30,0.02900056488454994
Comprehension,30,0.03586918205427714
Iterable,30,0.013157744109272507
Functional,31,0.02463070327139616
Comprehension,31,0.025543360909120683
Iterable,31,0.02418779588838249
Functional,32,0.0279864569817323
Comprehension,32,0.029159253626057424
Iterable,32,0.007661271381038004
Functional,33,0.028952800362852527
Comprehension,33,0.029329390062847738
Iterable,33,0.015465441579055605
Functional,34,0.028788190399646973
Comprehension,34,0.03233263370809403
Iterable,34,0.01905962314976617
Functional,35,0.030332839766609165
Comprehension,35,0.030295733443968187
Iterable,35,0.014013163270582885
Functional,36,0.03247869050997898
Comprehension,36,0.03899321862216332
Iterable,36,0.010989787471563428
Functional,37,0.028885693183607897
Comprehension,37,0.02656102154495721
Iterable,37,0.02809580220908936
Functional,38,0.032074073693946215
Comprehension,38,0.03598721174012476
Iterable,38,0.02281249346198444
Functional,39,0.03189880553168423
Comprehension,39,0.03450611681938809
Iterable,39,0.018098806242230925
Functional,40,0.0354061425174903
Comprehension,40,0.039979299408943625
Iterable,40,0.012608649483807355
Functional,41,0.03141405484867121
Comprehension,41,0.028943326408136016
Iterable,41,0.029942828630764584
Functional,42,0.037370014380673666
Comprehension,42,0.04937351500694165
